itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
38mm X 25mm,"PVC Casing Capping Duct 3/4""",003-0057-00-005705,FT,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Teflon Tape,003-0000-00-000028,No.s,200,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Water Proof Insulation Tape,003-0009-04-009012,No.s,60,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
HL-3048W (Rosh),Plateform LED Light Driver,011-0008-00-008002,No.s,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
220V (1 X 150W),Plateform LED Light,011-0007-00-007023,No.s,250,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
7W-8W,Lamp Strip Panle Light,011-0007-00-007024,No.s,40,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"3-Watt, AC-220 50Hz",Portable Beam Light/ Automatic Emergency Light,011-0007-00-007041,No.s,14,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
1Ft X 1 Ft,Square LED Panel Light 24watt (Capital),011-0007-00-007033,"No,s",65,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"3"" X 3""",Power Socket Cover,011-0017-00-017002,"No,s",50,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
1.5mm,Black Heat Sleeve 1.5mm,011-0019-00-019005,MTR,10,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
2.5mm,Black Heat Sleeve 2.5mm,011-0019-00-019006,MTR,10,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
6mm,Black Heat Sleeve 6mm,011-0019-00-019001,MTR,10,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
10mm,Black Heat Sleeve 10mm,003-0000-00-000152,MTR,10,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Glass Plate For Exit Sign,003-0022-00-022008,"No,s",60,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"6"" X 4""",Power Socket Cover,011-0017-00-017003,"No,s",50,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Exit Sign Cover,003-0022-00-022009,"No,s",252,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
250-W,Halogen Lamp 250 Watt,011-0007-09-007035,"No,s",31,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
250-W,Halogen Light Accessories 250 Watt,011-0008-00-008011,"No,s",31,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Lamp Strip Panle Light,001-0007-00-007040,"No,s",400,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
150-W,Halogen Lamp 150 Watt,011-0007-00-007042,"No,s",25,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
150-W,Halogen Light Accessories 150 Watt,011-0008-00-008010,"No,s",25,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"Faisal-1/2""",Muslim Faucet/Muslim shower with Barrel Nipple,003-0037-00-003738,Set.s,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
0.5-MM,Flexible Cable Single Core,011-0001-00-001014,MTR,0,,O&M,,ILLUMINATION," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
